,id,codigo,anunciante,oferta,tipo,area_util,bairro,cidade,preco,valor_m2,quartos,vagas,latitude,longitude,data_coleta,cluster
43598,4821820,VILLA150843A01,Kojima ImÃ³veis,Aluguel,Apartamento,83.0,ASA NORTE,BRASILIA,5500.0,66.0,1.0,2.0,-15.7813,-47.8899,2025-02-23,3
44738,4822968,AC2984,Acontece ImobiliÃ¡ria,Aluguel,Apartamento,45.0,ASA NORTE,BRASILIA,2350.0,52.0,1.0,0.0,-15.7454,-47.8997,2025-02-23,7
44787,4823017,AP4225,Coemi ImÃ³veis,Aluguel,Apartamento,230.0,ASA NORTE,BRASILIA,4900.0,21.0,1.0,1.0,-15.7784,-47.8886,2025-02-23,6
44820,4823050,LIFE,Santa Teresa ImÃ³veis,Aluguel,Apartamento,80.0,ASA NORTE,BRASILIA,4160.0,52.0,1.0,1.0,-15.7813,-47.8899,2025-02-23,7
45205,4823435,1118129,Victor Cruz NegÃ³cios ImobiliÃ¡rios,Aluguel,Apartamento,45.0,ASA NORTE,BRASILIA,3500.0,77.0,1.0,1.0,-15.7383,-47.8896,2025-02-23,8
45257,4823487,COB,Santa Teresa ImÃ³veis,Aluguel,Apartamento,82.0,ASA NORTE,BRASILIA,3952.0,48.0,1.0,1.0,-15.7813,-47.8899,2025-02-23,4
45806,4824036,20411715,ProprietÃ© ImÃ³veis,Aluguel,Apartamento,30.0,ASA NORTE,BRASILIA,2800.0,93.0,1.0,1.0,53.912,38.557,2025-02-23,2
46010,4824240,2041119D,ProprietÃ© ImÃ³veis,Aluguel,Apartamento,28.0,ASA NORTE,BRASILIA,1700.0,60.0,1.0,1.0,0.0,0.0,2025-02-23,0
46192,4824422,P2806,Pilotis Vendas,Aluguel,Apartamento,22.0,ASA NORTE,BRASILIA,1000.0,43.0,1.0,0.0,-15.7591,-47.8875,2025-02-23,4
46200,4824430,AP0136,Ãxito Premium,Aluguel,Apartamento,78.0,ASA NORTE,BRASILIA,4200.0,53.0,1.0,0.0,-15.7787,-47.8865,2025-02-23,7
46298,4824528,AP00887,ImobiliÃ¡ria Zoom,Aluguel,Apartamento,30.0,ASA NORTE,BRASILIA,2800.0,92.0,1.0,1.0,-15.7448,-47.9013,2025-02-23,2
46310,4824540,2041SGAN91426,ProprietÃ© ImÃ³veis,Aluguel,Apartamento,45.0,ASA NORTE,BRASILIA,1700.0,37.0,1.0,0.0,-15.7477,-47.9014,2025-02-23,5
46478,4824706,AP00888,ImobiliÃ¡ria Zoom,Aluguel,Apartamento,26.0,ASA NORTE,BRASILIA,1550.0,59.0,1.0,1.0,-15.757,-47.8997,2025-02-23,0
46601,4824829,AC3380,Acontece ImobiliÃ¡ria,Aluguel,Apartamento,30.0,ASA NORTE,BRASILIA,1350.0,45.0,1.0,0.0,-15.7389,-47.9007,2025-02-23,4
46802,4825030,2041VISION201,ProprietÃ© ImÃ³veis,Aluguel,Apartamento,40.0,ASA NORTE,BRASILIA,3500.0,87.0,1.0,1.0,53.912,38.557,2025-02-23,2
46852,4825080,1075310,Alladyno imÃ³veis,Aluguel,Apartamento,100.0,ASA NORTE,BRASILIA,5931.0,59.0,1.0,0.0,-15.7813,-47.8899,2025-02-23,0
46913,4825141,RRO692,Rodolfo ImÃ³veis,Aluguel,Apartamento,35.0,ASA NORTE,BRASILIA,1300.0,37.0,1.0,0.0,-15.7538,-47.8818,2025-02-23,5
47137,4825365,AP18122,ThaÃ­s Imobiliaria,Aluguel,Apartamento,40.0,ASA NORTE,BRASILIA,2250.0,56.0,1.0,0.0,-15.7636,-47.8792,2025-02-23,7
47664,4825896,AP18043,ThaÃ­s Imobiliaria,Aluguel,Apartamento,55.0,ASA NORTE,BRASILIA,3600.0,65.0,1.0,0.0,-15.7383,-47.8896,2025-02-23,3
